County,Year,Indicator,Value,Regional Economic Blocs,Event
Bungoma,2016,Production (MT),301068,Lake Region Economic Bloc (LREB),Drought Year
Bungoma,2020,Production (MT),317912.33,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Narok,2013,Production (MT),314411.67,Narok-Kajiado Economic Bloc (NAKAEB) ,Post Election Political Tension
Trans Nzoia,2012,Production (MT),432342.27,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2013,Production (MT),425301.39,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2014,Production (MT),451348.2,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2015,Production (MT),413415,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2016,Production (MT),406434,North Rift Economic Bloc (NOREB),Drought Year
Trans Nzoia,2017,Production (MT),393669.44,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2018,Production (MT),548196.01,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2020,Production (MT),469755,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Uasin Gishu,2013,Production (MT),363562.2,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2014,Production (MT),380226.69,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2015,Production (MT),405121,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2016,Production (MT),405440,North Rift Economic Bloc (NOREB),Drought Year
Uasin Gishu,2017,Production (MT),316041,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2018,Production (MT),405459.6797,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2020,Production (MT),379318.77,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Trans Nzoia,2021,Production (MT) ,407695.5,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Uasin Gishu,2021,Production (MT) ,345414.15,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Trans Nzoia,2023,Production (MT),390015,North Rift Economic Bloc (NOREB),Drought Year
Uasin Gishu,2023,Production (MT),388578.87,North Rift Economic Bloc (NOREB),Drought Year
Uasin Gishu,2019,Tonnes,324366,North Rift Economic Bloc (NOREB),Drought Year
